20191,1
20192,1
20193,1
20194,1
20195,1
20196,1
20197,1
20198,1
20199,1
201910,1
201911,1
201912,1
201913,1
201914,1
201915,1
201916,1
201917,1
201918,1
201919,1
201920,1
201921,1
201922,1
201923,1
201924,1
201925,1
201926,1
201927,1
201928,1
201929,1
201930,1
201931,1
201932,1
201933,1
201934,1
201935,1
201936,1
201937,1
201938,1
201939,1
201940,1
201941,1
201942,1
201943,1
201944,1
201945,1
201946,1
201947,1
201948,1
201949,1
201950,1
201951,1
201952,1
201953,1
201954,1
201955,1
201956,1
201957,1
201958,1
201959,1
201960,1
201961,1
201962,1
201963,1
201964,1
201965,1
201966,1
201967,1
201968,1
201969,1
201970,1
201971,1
201972,1
201973,1
201974,1
201975,1
201976,1
201977,1
201978,1
201979,1
201980,1
201981,1
201982,1
201983,1
201984,1
201985,1
201986,1
201987,1
201988,1
201989,1
201990,1
201991,1
201992,1
201993,1
201994,1
201995,1
201996,1
201997,1
201998,1
201999,1
2019100,1
