20191,1
20192,1
20193,1
20194,1
20195,1
20196,1
20197,1
20198,1
20199,1
201910,1
201911,1
201912,1
201913,1
201914,1
201915,1
201916,1
201917,1
201918,1
201919,1
201920,1
201921,1
201922,1
201923,1
201924,1
201925,1
201926,1
201927,1
201928,1
201929,1
201930,1
201931,
201932,
201933,
201934,
201935,
201936,
201937,
201938,
201939,
201940,
201941,
201942,
201943,
201944,
201945,
201946,
201947,
201948,
201949,
201950,
201951,
201952,
201953,
201954,
201955,
201956,
201957,
201958,
201959,
201960,
201961,
201962,
201963,
201964,
201965,
201966,
201967,
201968,
201969,
201970,
201971,
201972,
201973,
201974,
201975,
201976,
201977,
201978,
201979,
201980,
201981,
201982,
201983,
201984,
201985,
201986,
201987,
201988,
201989,
201990,
201991,
201992,
201993,
201994,
201995,
201996,
201997,
201998,
201999,
2019100,
